Date,Description,Payee,Reference,Amount,Type,Status,Category Code,Category Name,Reconciled
2026-01-08,USave Mabopane,USave Mabopane,,500.00,Debit,REVIEW_REQUIRED,,,No
2026-01-08,USave Mabopane,USave Mabopane,,26.99,Debit,REVIEW_REQUIRED,,,No
2026-01-08,5 Star Hardware,5 Star Hardware,,87.00,Debit,REVIEW_REQUIRED,,,No
2026-01-07,BP,BP,,300.00,Debit,REVIEW_REQUIRED,,,No
2026-01-07,Star Supermarket,Star Supermarket,,272.00,Debit,REVIEW_REQUIRED,,,No
2026-01-05,Apple,Apple,,109.99,Debit,REVIEW_REQUIRED,,,No
2026-01-05,FNB ATM,FNB ATM,,1000.00,Debit,REVIEW_REQUIRED,,,No
2026-01-03,Xero,Xero,,450.00,Debit,REVIEW_REQUIRED,,,No
2026-01-03,Afrihost,Afrihost,,59.00,Debit,REVIEW_REQUIRED,,,No
2026-01-02,5 Star Hardware,5 Star Hardware,,221.00,Debit,REVIEW_REQUIRED,,,No
2026-01-02,D6 Group,D6 Group,,897.00,Debit,REVIEW_REQUIRED,,,No
2026-01-02,CSB Hebron,CSB Hebron,,367.90,Debit,REVIEW_REQUIRED,,,No
2026-01-02,Usave Car & Truck Rental,Usave Car & Truck Rental,,600.00,Debit,REVIEW_REQUIRED,,,No
2026-01-02,Apple Store,Apple Store,,34.99,Debit,REVIEW_REQUIRED,,,No
2026-01-02,CSB Bonaventure,CSB Bonaventure,,1046.10,Debit,REVIEW_REQUIRED,,,No
2026-01-02,CSB Bonaventure,CSB Bonaventure,,277.95,Debit,REVIEW_REQUIRED,,,No
2025-12-31,Apple,Apple,,1.78,Debit,REVIEW_REQUIRED,,,No
2025-12-30,FNB ATM,FNB ATM,,1000.00,Debit,REVIEW_REQUIRED,,,No
2025-12-29,Microsoft,Microsoft,,159.00,Debit,REVIEW_REQUIRED,,,No
2025-12-29,Painters,Painters,,800.00,Debit,REVIEW_REQUIRED,,,No
2025-12-27,5 Star Hardware,5 Star Hardware,,325.00,Debit,REVIEW_REQUIRED,,,No
2025-12-27,CSB Bonaventure,CSB Bonaventure,,1999.00,Debit,REVIEW_REQUIRED,,,No
2025-12-27,Shell,Shell,,600.00,Debit,REVIEW_REQUIRED,,,No
2025-12-27,Starlight NS,Starlight NS,,481.00,Debit,REVIEW_REQUIRED,,,No
2025-12-23,M Makwela,M Makwela,,3500.00,Credit,REVIEW_REQUIRED,,,No
2025-12-23,FNB ATM,FNB ATM,,250.00,Debit,REVIEW_REQUIRED,,,No
2025-12-23,Rain,Rain,,819.00,Debit,REVIEW_REQUIRED,,,No
2025-12-23,Apple Store,Apple Store,,79.00,Debit,REVIEW_REQUIRED,,,No
2025-12-22,Usave Car & Truck Rental,Usave Car & Truck Rental,,163.23,Debit,REVIEW_REQUIRED,,,No
2025-12-22,Usave Car & Truck Rental,Usave Car & Truck Rental,,150.00,Debit,REVIEW_REQUIRED,,,No
2025-12-22,Capitec Bank,Capitec Bank,,1000.00,Credit,REVIEW_REQUIRED,,,No
2025-12-17,BP,BP,,300.00,Debit,REVIEW_REQUIRED,,,No
2025-12-17,FNB Bank Fees,FNB Bank Fees,,18.60,Debit,REVIEW_REQUIRED,,,No
2025-12-17,Owner Loan,Owner Loan,,20000.00,Credit,REVIEW_REQUIRED,,,No
2025-12-17,FNB Bank Fees,FNB Bank Fees,,144.48,Debit,REVIEW_REQUIRED,,,No
2025-12-17,Star Supermarket,Star Supermarket,,205.00,Debit,REVIEW_REQUIRED,,,No
2025-12-15,Engen,Engen,,200.00,Debit,REVIEW_REQUIRED,,,No
2025-12-15,Autozone,Autozone,,129.90,Debit,REVIEW_REQUIRED,,,No
2025-12-12,One Stop Prepaid,One Stop Prepaid,,220.00,Debit,REVIEW_REQUIRED,,,No
2025-12-12,Star Supermarket,Star Supermarket,,155.00,Debit,REVIEW_REQUIRED,,,No
2025-12-12,FNB ATM,FNB ATM,,500.00,Debit,REVIEW_REQUIRED,,,No
2025-12-10,Ica Supermarket,Ica Supermarket,,133.70,Debit,REVIEW_REQUIRED,,,No
2025-12-10,G Suite,G Suite,,500.00,Credit,REVIEW_REQUIRED,,,No
2025-12-10,Tshwane Key Safes,Tshwane Key Safes,,350.00,Debit,REVIEW_REQUIRED,,,No
2025-12-10,Tshwane Bike And Car,Tshwane Bike And Car,,650.00,Debit,REVIEW_REQUIRED,,,No
2025-12-09,Apple,Apple,,2.47,Debit,REVIEW_REQUIRED,,,No
2025-12-09,Apple,Apple,,0.79,Debit,REVIEW_REQUIRED,,,No
2025-12-09,Apple,Apple,,4.50,Debit,REVIEW_REQUIRED,,,No
2025-12-08,Engen,Engen,,200.00,Debit,REVIEW_REQUIRED,,,No
2025-12-04,Shoprite,Shoprite,,327.89,Debit,REVIEW_REQUIRED,,,No
2025-12-04,Mogale Pharmacy,Mogale Pharmacy,,138.00,Debit,REVIEW_REQUIRED,,,No
